S. No.,Proposal No.,Proposal Details,Project Name,Location,Project Proponent,Issuing Authority,Proposal Status,State_Value,Activity Description
1,SIA/AP/IND2/499486/2026,"Clearance Type: Application for Amendment in EC- Form-4
S/W No.: SW/209953/2024
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
07/02/2026",PEARL DISTILLERY LIMITED,ANDHRA PRADESH,PEARL DISTILLERY LIMITED,SEIAA,EC Granted,ANDHRA PRADESH,5(g) Distilleries
2,SIA/AP/IND2/565820/2026,"Clearance Type: Application for Amendment in EC- Form-4
S/W No.: SW/133535/2023
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
17/01/2026","Proposed 1000 KLPD Grain based Ethanol Plant along with 24 MW Co-generation Power Plant at Plot no. 4B, 5/9 to 5/14, Model Industrial Park, Mallavalli, Tehsil Bapulapadu, District Krishna, Andhra Pradesh by M/s Alcowave Ethanol Private Limited",ANDHRA PRADESH,ALCOWAVE ETHANOL PRIVATE LIMITED,SEIAA,EC Granted,ANDHRA PRADESH,5(g) Distilleries
3,SIA/AP/IND2/554370/2025,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/239531/2025
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
08/10/2025",Greenfield Project of “Grain Based Distillery Plant of 50 KLD along with Co-generation Power Plant of 1.5 MW by M/s R K S Techno Vision Engineering Pvt Ltd,ANDHRA PRADESH,RKS TECHNO VISION ENGINEERING PRIVATE LIMITED,SEIAA,EC Granted,ANDHRA PRADESH,5(g) Distilleries
4,SIA/AP/IND2/552516/2025,"Clearance Type: Application for Amendment in EC- Form-4
S/W No.: SW/260119/2025
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
21/09/2025","Grain Based Distillery Plant Capacity of 200 KLPD along with 4.0 MW Co-Gen Power Plant of Gandepalli Village, Kanchikacherla Mandal, NTR District, Andhra Pradesh of Sentini Bio Products Private Limited",ANDHRA PRADESH,SENTINI BIOPRODUCTS PRIVATE LIMITED,SEIAA,EC Granted,ANDHRA PRADESH,5(g) Distilleries
5,SIA/AP/IND2/544784/2025,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/225494/2024
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
03/09/2025",Proposal for permission to produce Absolute Alcohol along with ENA/Fuel-Grade Ethanol in the existing plant and to enhance the production capacity of ENA/Fuel-Grade Ethanol/Absolute Alcohol from 90 KLPD to 180 KLPD (120 KLPD using grains as raw material and an additional 60 KLPD by procuring Rectified Spirit from external sources),ANDHRA PRADESH,CAPRICORN DISTILLERY PRIVATE LIMITED,SEIAA,EC Granted,ANDHRA PRADESH,5(g) Distilleries
6,SIA/AP/IND2/546109/2025,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/227400/2024
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
26/07/2025",GRAIN BASED ETHANOL PLANT OF 200KLPD CAPACITY BY M/S. DAMMU BIOFUELS PRIVATE LIMITED,ANDHRA PRADESH,DAMMU BIOFUELS PRIVATE LIMITED,SEIAA,EC Granted,ANDHRA PRADESH,5(g) Distilleries
7,SIA/AP/IND2/546051/2025,"Clearance Type: Application for Amendment in EC- Form-4
S/W No.: SW/254889/2025
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
26/07/2025",M/s. Grace Ventures Private Limited,ANDHRA PRADESH,ANUPAM SINGHANIA,SEIAA,EC Granted,ANDHRA PRADESH,5(g) Distilleries
8,SIA/AP/IND2/536394/2025,"Clearance Type: Application for Amendment in EC- Form-4
S/W No.: SW/245992/2025
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
06/06/2025","Grain Based Distillery project Capacity of 200 KLPD Fuel Ethanol along with 5.0 MW Co-Gen Power Plant of Emmajigudem Village, Bellamkonda Mandal, Palnadu District, Andhra Pradesh of Eindana Energies Private Limited",ANDHRA PRADESH,EINDANA ENERGIES PRIVATE LIMITED,SEIAA,EC Rejected,ANDHRA PRADESH,5(g) Distilleries
9,SIA/AP/IND2/539050/2025,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/248550/2025
Category: B2
Sector: Industrial Projects - 2
Date of Submission:
27/05/2025",Expansion of Grain Based Ethanol Plant from 200 KLD to 300 KLD and Co-generation Power Plant 6 MW to 6.25 MW,ANDHRA PRADESH,SRI HANUMAN BIOFUELS PRIVATE LIMITED,SEIAA,Proposal returned in present form,ANDHRA PRADESH,5(g) Distilleries
10,SIA/AP/IND2/536968/2025,"Clearance Type: Application for Transfer of EC- Form-7
S/W No.: SW/246592/2025
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
12/05/2025",M/s Pearl Distillery Private Limited,ANDHRA PRADESH,KARI SRINIVASA RAO,SEIAA,EC Granted,ANDHRA PRADESH,5(g) Distilleries
11,SIA/AP/IND2/533136/2025,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/243179/2025
Category: B2
Sector: Industrial Projects - 2
Date of Submission:
09/04/2025",Sentini Bio Spirit Private Limited proposes to expand Grain Based Distillery capacity from 200 KLPD to 250 KLPD Fuel Ethanol,ANDHRA PRADESH,SENTINI BIO-SPIRIT PRIVATE LIMITED,SEIAA,EC Rejected,ANDHRA PRADESH,5(g) Distilleries
12,SIA/AP/IND2/529130/2025,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/239531/2025
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
13/03/2025",Greenfield Project of “Grain Based Distillery Plant of 50 KLD along with Co-generation Power Plant of 1.5 MW by M/s R K S Techno Vision Engineering Pvt Ltd,ANDHRA PRADESH,RKS TECHNO VISION ENGINEERING PRIVATE LIMITED,SEIAA,ToR Granted,ANDHRA PRADESH,5(g) Distilleries
13,SIA/AP/IND2/519802/2025,"Clearance Type: Application for Validity Extension of EC- Form-6
S/W No.: SW/228131/2024
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
26/01/2025",Extension of Validity of Environmental Clearance issued for our Grain Based Distillery Plant (120 KLPD) along with Co-generation Power Plant (5 MW),ANDHRA PRADESH,RJC AGROS LIMITED,SEIAA,EC Granted,ANDHRA PRADESH,5(g) Distilleries
14,SIA/AP/IND2/515867/2024,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/227400/2024
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
24/12/2024",GRAIN BASED ETHANOL PLANT OF 200KLPD CAPACITY BY M/S. DAMMU BIOFUELS PRIVATE LIMITED,ANDHRA PRADESH,DAMMU BIOFUELS PRIVATE LIMITED,SEIAA,ToR Granted,ANDHRA PRADESH,5(g) Distilleries
15,SIA/AP/IND2/513948/2024,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/225494/2024
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
12/12/2024",Proposal for permission to produce Absolute Alcohol along with ENA/Fuel-Grade Ethanol in the existing plant and to enhance the production capacity of ENA/Fuel-Grade Ethanol/Absolute Alcohol from 90 KLPD to 180 KLPD (120 KLPD using grains as raw material and an additional 60 KLPD by procuring Rectified Spirit from external sources),ANDHRA PRADESH,CAPRICORN DISTILLERY PRIVATE LIMITED,SEIAA,ToR Granted,ANDHRA PRADESH,5(g) Distilleries
16,SIA/AP/IND2/480482/2024,"Clearance Type: Application for Surrender of Environmental Clearance - Form -11
S/W No.: SW/189490/2024
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
11/06/2024","Request for surrendering of Environmental Clearance issued for 60 KLPD as well as expansion from 60 to 75 KLPD Grain based Distillery plant and 2.5 MW co-generation power plant located at Sy No: 526,532,534,536,538,556 & 557 of Peddavaram Village, Nandigama Mandal, Krishna District, Andhra Pradesh State",ANDHRA PRADESH,SUDHEER BIO PRODUCTS PRIVATE LIMITED,SEIAA,"DELISTED BY SYSTEM
(at : 26/12/2024)",ANDHRA PRADESH,5(g) Distilleries
17,SIA/AP/IND2/480265/2024,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/189149/2024
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
10/06/2024","Proposed HPCL’s CBG Plant and 3 KLPD Ethanol Production at Denduluru, Eluru District, Andhra Pradesh",ANDHRA PRADESH,HPCL Renewable and green energy limited,SEIAA,"DELISTED BY SYSTEM
(at : 08/04/2025)",ANDHRA PRADESH,5(g) Distilleries
18,SIA/AP/IND2/459895/2024,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/123557/2023
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
29/01/2024",Vishwa Samudra Bio Energy Private Limited,ANDHRA PRADESH,VISHWA SAMUDRA BIO ENERGY PRIVATE LIMITED,SEIAA,EC Granted,ANDHRA PRADESH,5(g) Distilleries
19,SIA/AP/IND2/423303/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/123557/2023
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
13/04/2023",Vishwa Samudra Bio Energy Private Limited,ANDHRA PRADESH,VISHWA SAMUDRA BIO ENERGY PRIVATE LIMITED,SEIAA,TOR Granted,ANDHRA PRADESH,5(g) Distilleries
1,SIA/AP/IND1/561253/2025,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/268523/2025
Category: B2
Sector: Industrial Projects - 1
Date of Submission:
31/12/2025","Modernization & Modification of Existing ‘Integrated Steel Plant’ by Expansion in Environmental Clearance with increase in production capacity of Billets from 51,250 TPA to 1,19,500 TPA and TMT Bars/ Structural Steel from 50,000 TPA to 1,15,000 TPA, covering an area of 5.92 Acres (2.3957Ha.) (Survey No.15) and additional area of 6.43 acres (2.6022Ha.) (Survey No: 15-1,14,20-4A,20-4B & 20-3) with total area after expansion is 12.53 Acers (4.9979 Ha.)",ANDHRA PRADESH,A-ONE STEELS INDIA LIMITED,SEIAA,EC Granted,ANDHRA PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
2,SIA/AP/IND1/561157/2025,"Clearance Type: Application for Transfer of EC- Form-7
S/W No.: SW/268443/2025
Category: A
Sector: Industrial Projects - 1
Date of Submission:
17/12/2025",Change of fuel-Environmental Clearance (EC)name transfer from M/s. ArcelorMittal Nippon Steel India Limited to M/s. ArcelorMittal Nippon Steel India Private Limited.,ANDHRA PRADESH,ARCELORMITTAL NIPPON STEEL INDIA LIMITED,SEIAA,EC Rejected,ANDHRA PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
3,SIA/AP/IND1/561102/2025,"Clearance Type: Application for Transfer of EC- Form-7
S/W No.: SW/268323/2025
Category: A
Sector: Industrial Projects - 1
Date of Submission:
17/12/2025",Expansion Project - Environmental Clearance (EC) name transfer from M/s. ArcelorMittal Nippon Steel India Limited to M/s. ArcelorMittal Nippon Steel India Private Limited.,ANDHRA PRADESH,ARCELORMITTAL NIPPON STEEL INDIA LIMITED,SEIAA,EC Granted,ANDHRA PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
4,SIA/AP/IND1/546711/2025,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/255521/2025
Category: B2
Sector: Industrial Projects - 1
Date of Submission:
08/12/2025","Modernization& Modification of Existing ‘Integrated Steel Plant’ by Expansion in Environmental Clearance with increase in production capacity of Billets from 51,250 TPA to 1,19,500 TPA and TMT Bars/ Structural Steel from 50,000 TPA to 1,15,000 TPA, covering an area of 5.92 Acres (2.3957Ha.) (Survey No.15) and additional area of 6.43 acres (2.6022Ha.) (Survey No:15-1,14,22-1A&B,22-3) with total area 12.53 Acers(4.9979 Ha.)",ANDHRA PRADESH,A-ONE STEELS INDIA LIMITED,SEIAA,"DELISTED BY SYSTEM
(at : 12/12/2025)",ANDHRA PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
5,SIA/AP/IND1/526464/2025,"Clearance Type: Application for Transfer of EC- Form-7
S/W No.: SW/237162/2025
Category: A
Sector: Industrial Projects - 1
Date of Submission:
01/04/2025","Expansion of Iron Ore Pelletization from 7.0 MTPA to 11.0 MTPA in existing plant area of 110 acre located at Survey No. 15A, Kancharapalem, Near Flyover, Scindia Road, Vishakhapatnam Urban, Vishakhapatnam district, Andhra Pradesh by M/s Arcelor Mittal Nippon Steel India Limited (Formerly Essar Steel India Limited) –Grant of Environmental Clearance under the provisions EIA Notification, 2006 -regarding.",ANDHRA PRADESH,ARCELORMITTAL NIPPON STEEL INDIA LIMITED,SEIAA,EC Rejected,ANDHRA PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
6,SIA/AP/IND1/526730/2025,"Clearance Type: Application for Transfer of EC- Form-7
S/W No.: SW/237466/2025
Category: A
Sector: Industrial Projects - 1
Date of Submission:
01/04/2025","Proposed change of fuel from LSHS to Natural gas (fuel oil as stand by) in the Existing 7.0 MTPA Iron ore Pelletisation plant and net 25 MW Captive powerplant by M/s ArcelorMittal Nippon Steel India Limited (Formerly Essar Steel India Limited) located at Village Kancharapalem, Tehsil Vishakhapatnam Urban, District Vishakhapatnam, Andhra Pradesh, India",ANDHRA PRADESH,ARCELORMITTAL NIPPON STEEL INDIA LIMITED,SEIAA,EC Rejected,ANDHRA PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
7,SIA/AP/IND1/528857/2025,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/239495/2025
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
12/03/2025",Proposed Ductile Iron Spun Pipe (Including melting of pig iron) Manufacturing Plant by M/s Maadurga Iron and Steel Private Limited.,ANDHRA PRADESH,MAADURGA IRON AND STEEL PRIVATE LIMITED,SEIAA,ToR Rejected,ANDHRA PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
8,SIA/AP/IND1/527837/2025,"Clearance Type: Application for Transfer of EC- Form-7
S/W No.: SW/238491/2025
Category: B2
Sector: Industrial Projects - 1
Date of Submission:
05/03/2025","Transfer of Environmental Clearances (by MoEFCC, letter No. J-11011/644/2009-IA II (I), dated 27.10.2010 and amended EC vide letter no. J-11011/644/2009-IA II (I ), dated 03-05/02/2015) from M/s A-One Steels India Private Limited to A-One Steels India Limited, with respect to its Integrated Steel Plant (Existing Capacity-M S Billets 51,250TPA and TMT Bars/Structural Steel 50,000TPA), located at Survey No.15, Village Manisamundram, Mandal Hindupur, District Ananthpur, Andhrapradesh",ANDHRA PRADESH,A-ONE STEELS INDIA LIMITED,SEIAA,EC Granted,ANDHRA PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
9,SIA/AP/IND1/518139/2025,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/227901/2024
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
30/01/2025",M/s Greentech Industries (India) Private Limited,ANDHRA PRADESH,M/S GREENTECH INDUSTRIES (INDIA) PRIVATE LIMITED,SEIAA,EC Granted,ANDHRA PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
10,SIA/AP/IND1/516193/2024,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/227755/2024
Category: B2
Sector: Industrial Projects - 1
Date of Submission:
26/12/2024","Proposed Expansion in EC, increase in production of M S Billets from 51,250TPA to 1,19,500TPA and TMT Bars/Structural Steel from 50,000TPA to 1,15,000TPA, in the existing area of 5.92 Acres (2.3957Ha), of the Integrated Steel Plant of M/s A-One Steels India Pvt. Ltd., located at Survey No.15, Village Manisamundram, Mandal Hindupur, District Ananthpur, Andhrapradesh",ANDHRA PRADESH,a-one steels inida private limited,SEIAA,"DELISTED BY SYSTEM
(at : 05/08/2025)",ANDHRA PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
11,SIA/AP/IND1/437362/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/137183/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
19/07/2023",M/s. BEEKAY STRUCTURAL STEELS (A UNIT OF BEEKAY STEEL INDUSTRIES LTD),ANDHRA PRADESH,GAUTAM BANSAL,SEIAA,EDS raised,ANDHRA PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
12,SIA/AP/IND1/437307/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/137113/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
19/07/2023",M/s. RADICE ISPAT (INDIA) VIZAG,ANDHRA PRADESH,GAUTAM BANSAL,SEIAA,EDS raised,ANDHRA PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
13,SIA/AP/IND1/437337/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/137158/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
19/07/2023",M/s. BEEKAY SPECIAL STEELS (UNIT OF BEEKAY STEEL INDUSTRIES LTD),ANDHRA PRADESH,GAUTAM BANSAL,SEIAA,EDS raised,ANDHRA PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
14,SIA/AP/IND1/433622/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/133275/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
19/06/2023",M/s. Thalaivar Steels Limited,ANDHRA PRADESH,THALAIVAR STEELS LIMITED,SEIAA,TOR Granted,ANDHRA PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
15,SIA/AP/IND1/427895/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/127819/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
03/05/2023","Regularization of existing Mild Steel Rolling mill for manufacturing of MS CTD Bars – 100 TPD by M/s. Sree Praseedha Steels and Minerals Private Limited, (formerly M/s. Steel Exchange India Ltd.,)",ANDHRA PRADESH,SREE PRASEEDHA STEELS AND MINERALS PRIVATE LIMITED,SEIAA,TOR Granted,ANDHRA PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
1,SIA/AP/IND1/549254/2025,"Clearance Type: Application for Surrender of Environmental Clearance - Form -11
S/W No.: SW/256108/2025
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
08/09/2025","Surrender of EC issued for the Expansion of Cement Grinding unit of M/s Andhra Cements Limited, Sri Durganagar, Viskapatnam District, Andhra Pradesh",ANDHRA PRADESH,ANDHRA CEMENTS LIMITED,SEIAA,"DELISTED BY SYSTEM
(at : 05/01/2026)",ANDHRA PRADESH,3(b) Cement plants
2,SIA/AP/IND1/543735/2025,"Clearance Type: Application for Corrigendum Form-13
S/W No.: SW/116760/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
09/07/2025",0.66 MTPA CEMENT GRINDING UNIT BY M/s. NCL INDUSTRIES LIMITED,ANDHRA PRADESH,NCL INDUSTRIES LIMITED,SEIAA,EC Granted,ANDHRA PRADESH,3(b) Cement plants
3,SIA/AP/IND1/501047/2024,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/211268/2024
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
17/10/2024",Proposed Installation of 0.80 MTPA Greenfield Cement Grinding Unit by M/s Deccan Cements Limited,ANDHRA PRADESH,DECCAN CEMENTS LIMITED,SEIAA,EC Rejected,ANDHRA PRADESH,3(b) Cement plants
4,SIA/AP/IND1/467587/2024,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/151849/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
30/03/2024","Proposed Grinding Unit with capacity of 4.0 Million TPA at Kantakapalli Village, Kothavalasa Mandal, Vizianagaram District, Andhra Pradesh, by M/s. UltraTech Cement Limited",ANDHRA PRADESH,M/s. UltraTech Cement Ltd.,SEIAA,EC Granted,ANDHRA PRADESH,3(b) Cement plants
5,SIA/AP/IND1/450374/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/148795/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
04/03/2024","Proposed Gangavaram Cement Grinding Unit with Production Capacity of 2 x 2 Million Metric Tons Per Annum (4 MMTPA)” located at Village: Pedagantyada, Taluk: Gajuwaka, District: Visakhapatnam , State: Andhra Pradesh by M/s Ambuja Cements Limited (ACL)",ANDHRA PRADESH,Ambuja Cements Limited,SEIAA,ToR Granted,ANDHRA PRADESH,3(b) Cement plants
6,SIA/AP/IND1/452740/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/151849/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
11/12/2023","Proposed Grinding Unit with capacity of 4.0 Million TPA at Kantakapalli Village, Kothavalasa Mandal, Vizianagaram District, Andhra Pradesh, by M/s. UltraTech Cement Limited",ANDHRA PRADESH,M/s. UltraTech Cement Ltd.,SEIAA,TOR Granted,ANDHRA PRADESH,3(b) Cement plants
7,SIA/AP/IND1/451099/2023,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/138382/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
03/11/2023",M/s. AARAV BUILDMAT PRIVATE LIMITED,ANDHRA PRADESH,AARAV BUILDMAT PRIVATE LIMITED,SEIAA,EC Granted,ANDHRA PRADESH,3(b) Cement plants
8,SIA/AP/IND1/438668/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/138382/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
31/07/2023",M/s. AARAV BUILDMAT PRIVATE LIMITED,ANDHRA PRADESH,AARAV BUILDMAT PRIVATE LIMITED,SEIAA,EDS raised,ANDHRA PRADESH,3(b) Cement plants
9,SIA/AP/IND1/415896/2023,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/116760/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
27/01/2023",0.66 MTPA CEMENT GRINDING UNIT BY M/s. NCL INDUSTRIES LIMITED,ANDHRA PRADESH,NCL INDUSTRIES LIMITED,SEIAA,EC Granted,ANDHRA PRADESH,3(b) Cement plants
